ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2022-07-12,409.6241831291309,84.60840947225537,567.2957681670376,409.6241831291309,409.6241831291309,-89.08967954730107,-89.08967954730107,-89.08967954730107,-59.74853553888007,-59.74853553888007,-59.74853553888007,-29.34114400842101,-29.34114400842101,-29.34114400842101,0.0,0.0,0.0,320.5345035818299
2022-07-13,410.0491548529015,96.06576387887335,574.9681740413662,410.0491548529015,410.0491548529015,-65.99146969636412,-65.99146969636412,-65.99146969636412,-43.185027736523956,-43.185027736523956,-43.185027736523956,-22.806441959840164,-22.806441959840164,-22.806441959840164,0.0,0.0,0.0,344.0576851565374
2022-07-14,410.47412657667206,86.24915229072113,566.2921387863096,410.47412657667206,410.47412657667206,-76.94373763074078,-76.94373763074078,-76.94373763074078,-60.699253042384235,-60.699253042384235,-60.699253042384235,-16.24448458835653,-16.24448458835653,-16.24448458835653,0.0,0.0,0.0,333.5303889459313
2022-07-15,410.8990983004426,146.59399829225435,629.3334909261919,410.8990983004426,410.8990983004426,-15.968047589232889,-15.968047589232889,-15.968047589232889,-6.269982582048442,-6.269982582048442,-6.269982582048442,-9.698065007184448,-9.698065007184448,-9.698065007184448,0.0,0.0,0.0,394.9310507112097
2022-07-16,411.32407002421314,298.54018071401686,768.2966253016476,411.32407002421314,411.32407002421314,116.2338800419059,116.2338800419059,116.2338800419059,119.4443464146944,119.4443464146944,119.4443464146944,-3.2104663727884883,-3.2104663727884883,-3.2104663727884883,0.0,0.0,0.0,527.557950066119
2022-07-17,411.7490417479837,284.36060453244926,753.8725298510542,411.7490417479837,411.7490417479837,103.07404306905862,103.07404306905862,103.07404306905862,99.89851885999244,99.89851885999244,99.89851885999244,3.175524209066185,3.175524209066185,3.175524209066185,0.0,0.0,0.0,514.8230848170423
2022-07-18,412.1740134717543,141.0031938700728,611.9084411706513,412.1740134717543,412.1740134717543,-40.02144839008731,-40.02144839008731,-40.02144839008731,-49.44006637471812,-49.44006637471812,-49.44006637471812,9.41861798463081,9.41861798463081,9.41861798463081,0.0,0.0,0.0,372.152565081667
2022-07-19,412.5989851955248,130.72225948329162,610.299137479859,412.5989851955248,412.5989851955248,-44.268522226956804,-44.268522226956804,-44.268522226956804,-59.748535539003505,-59.748535539003505,-59.748535539003505,15.480013312046696,15.480013312046696,15.480013312046696,0.0,0.0,0.0,368.330462968568
2022-07-20,413.02395691929536,139.17068564908536,621.2456602374414,413.02395691929536,413.02395691929536,-21.86068712949881,-21.86068712949881,-21.86068712949881,-43.185027736551994,-43.185027736551994,-43.185027736551994,21.324340607053188,21.324340607053188,21.324340607053188,0.0,0.0,0.0,391.1632697897966
2022-07-21,413.44892864306587,136.3861407522878,628.4404849358066,413.44892864306587,413.44892864306587,-33.77871943155816,-33.77871943155816,-33.77871943155816,-60.69925304235886,-60.69925304235886,-60.69925304235886,26.920533610800724,26.920533610800724,26.920533610800724,0.0,0.0,0.0,379.6702092115077
